scheduler	batch	step	latency	throughput	gpu_peak_GB	gpu_total_GB	gpu_util_ratio
DDPM	1	30	1.748344024	0.57196981	3.189051628	47.37982178	0.067308223
DDPM	2	30	2.767820279	0.722590269	3.594472885	47.37982178	0.075865057
DDPM	4	30	4.980569442	0.803121018	4.595622063	47.37982178	0.096995343
DDPM	8	30	9.570802291	0.835875589	6.597989082	47.37982178	0.139257364
DDPM	16	30	19.18901181	0.833810524	10.6032114	47.37982178	0.223791711
DDPM	32	30	38.29993137	0.835510636	18.61171055	47.37982178	0.392819345
DDPM	48	30	58.13690988	0.825637278	23.62143803	47.37982178	0.49855481
DDPM	1	50	2.886164427	0.346480606	3.189051628	47.37982178	0.067308223
DDPM	2	50	4.47503678	0.446923701	3.594472885	47.37982178	0.075865057
DDPM	4	50	8.059535503	0.496306518	4.595622063	47.37982178	0.096995343
DDPM	8	50	15.42259534	0.518719439	6.597989082	47.37982178	0.139257364
DDPM	16	50	30.84495743	0.518723361	10.6032114	47.37982178	0.223791711
DDPM	32	50	61.64312498	0.519117096	18.61171055	47.37982178	0.392819345
DDPM	48	50	93.59159048	0.512866591	23.62192631	47.37982178	0.498565115
DDPM	1	75	4.203876813	0.237875667	3.189052105	47.37982178	0.067308233
DDPM	2	75	6.597770373	0.303132708	3.594473362	47.37982178	0.075865067
DDPM	4	75	11.88607693	0.336528194	4.59562254	47.37982178	0.096995353
DDPM	8	75	22.93372107	0.348831312	6.597989559	47.37982178	0.139257374
DDPM	16	75	45.03555187	0.355274874	10.60321188	47.37982178	0.223791721
DDPM	32	75	91.14701819	0.35108115	18.61171103	47.37982178	0.392819355
DDPM	48	75	137.8036549	0.348321676	23.6214385	47.37982178	0.49855482
DDPM	1	100	5.584047159	0.179081582	3.189052105	47.37982178	0.067308233
DDPM	2	100	8.735755841	0.228944128	3.594473362	47.37982178	0.075865067
DDPM	4	100	15.76403173	0.253742194	4.59562254	47.37982178	0.096995353
DDPM	8	100	30.33078861	0.263758391	6.597989559	47.37982178	0.139257374
DDPM	16	100	59.59285903	0.268488545	10.60321188	47.37982178	0.223791721
DDPM	32	100	120.8922404	0.264698544	18.61171103	47.37982178	0.392819355
DDPM	48	100	181.513271	0.264443474	23.62192678	47.37982178	0.498565125
DDPM	1	150	8.365575949	0.119537496	3.189052582	47.37982178	0.067308244
DDPM	2	150	13.13770398	0.152233602	3.594473839	47.37982178	0.075865077
DDPM	4	150	23.60339411	0.169467153	4.595623016	47.37982178	0.096995363
DDPM	8	150	45.42303602	0.176122089	6.597990036	47.37982178	0.139257384
DDPM	16	150	89.69672767	0.17837886	10.60321236	47.37982178	0.223791732
DDPM	32	150	180.0226706	0.17775539	18.6117115	47.37982178	0.392819365
DDPM	48	150	271.5747581	0.176746912	23.62143898	47.37982178	0.49855483
DDPM	1	200	11.10609643	0.090040637	3.189053059	47.37982178	0.067308254
DDPM	2	200	17.43206795	0.114731081	3.594474316	47.37982178	0.075865087
DDPM	4	200	31.39771914	0.127397789	4.595623493	47.37982178	0.096995373
DDPM	8	200	59.44378877	0.134580924	6.597990513	47.37982178	0.139257394
DDPM	16	200	118.7731829	0.134710543	10.60321283	47.37982178	0.223791742
DDPM	32	200	238.2717558	0.134300433	18.61171198	47.37982178	0.392819375
DDPM	48	200	359.7952868	0.133409196	23.62192774	47.37982178	0.498565146
